asOfDate,annualBasicEPS,annualRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest
2023-03-31,1.1557,4180000000.0,10762900000.0
2024-03-31,1.6828,5899800000.0,9561400000.0
2025-03-31,1.4631,5588600000.0,10470100000.0
2026-03-31,2.0594,6777500000.0,9646300000.0
