Date,Close,AdjClose,Volume,Currency
2021-07-13,32702.025390625,32702.025390625,19120856669,USD
2021-07-14,32822.34765625,32822.34765625,21376531210,USD
2021-07-15,31780.73046875,31780.73046875,21300524237,USD
2021-07-16,31421.5390625,31421.5390625,23699476918,USD
2021-07-17,31533.068359375,31533.068359375,18895018942,USD
2021-07-18,31796.810546875,31796.810546875,18787986667,USD
2021-07-19,30817.83203125,30817.83203125,20434789545,USD
2021-07-20,29807.34765625,29807.34765625,23148267245,USD
2021-07-21,32110.693359375,32110.693359375,28203024559,USD
2021-07-22,32313.10546875,32313.10546875,19555230518,USD
2021-07-23,33581.55078125,33581.55078125,22552046192,USD
2021-07-24,34292.4453125,34292.4453125,21664706865,USD
2021-07-25,35350.1875,35350.1875,20856685287,USD
2021-07-26,37337.53515625,37337.53515625,51022126212,USD
2021-07-27,39406.94140625,39406.94140625,35097370560,USD
2021-07-28,39995.90625,39995.90625,38702404695,USD
2021-07-29,40008.421875,40008.421875,27167146027,USD
2021-07-30,42235.546875,42235.546875,33072782960,USD
2021-07-31,41626.1953125,41626.1953125,25802845343,USD
2021-08-01,39974.89453125,39974.89453125,26688438115,USD
2021-08-02,39201.9453125,39201.9453125,25595265436,USD
2021-08-03,38152.98046875,38152.98046875,26189830450,USD
2021-08-04,39747.50390625,39747.50390625,25372562724,USD
2021-08-05,40869.5546875,40869.5546875,35185031017,USD
2021-08-06,42816.5,42816.5,38226483046,USD
2021-08-07,44555.80078125,44555.80078125,40030862141,USD
2021-08-08,43798.1171875,43798.1171875,36302664750,USD
2021-08-09,46365.40234375,46365.40234375,38734079049,USD
2021-08-10,45585.03125,45585.03125,33546019517,USD
2021-08-11,45593.63671875,45593.63671875,34319709073,USD
2021-08-12,44428.2890625,44428.2890625,33723620826,USD
2021-08-13,47793.3203125,47793.3203125,31744259539,USD
2021-08-14,47096.9453125,47096.9453125,31211354442,USD
2021-08-15,47047.00390625,47047.00390625,30988958446,USD
2021-08-16,46004.484375,46004.484375,32776876610,USD
2021-08-17,44695.359375,44695.359375,33451362600,USD
2021-08-18,44801.1875,44801.1875,32194123075,USD
2021-08-19,46717.578125,46717.578125,37204312299,USD
2021-08-20,49339.17578125,49339.17578125,34706867452,USD
2021-08-21,48905.4921875,48905.4921875,40585205312,USD
2021-08-22,49321.65234375,49321.65234375,25370975378,USD
2021-08-23,49546.1484375,49546.1484375,34305053719,USD
2021-08-24,47706.1171875,47706.1171875,35361168834,USD
2021-08-25,48960.7890625,48960.7890625,32646349931,USD
2021-08-26,46942.21875,46942.21875,32666549568,USD
2021-08-27,49058.66796875,49058.66796875,34511076995,USD
2021-08-28,48902.40234375,48902.40234375,28568103401,USD
2021-08-29,48829.83203125,48829.83203125,25889650240,USD
2021-08-30,47054.984375,47054.984375,31847007016,USD
2021-08-31,47166.6875,47166.6875,34730363427,USD
2021-09-01,48847.02734375,48847.02734375,39139399125,USD
2021-09-02,49327.72265625,49327.72265625,39508070319,USD
2021-09-03,50025.375,50025.375,43206179619,USD
2021-09-04,49944.625,49944.625,37471327794,USD
2021-09-05,51753.41015625,51753.41015625,30322676319,USD
2021-09-06,52633.53515625,52633.53515625,38884105426,USD
2021-09-07,46811.12890625,46811.12890625,65210059683,USD
2021-09-08,46091.390625,46091.390625,49007762488,USD
2021-09-09,46391.421875,46391.421875,38672657013,USD
2021-09-10,44883.91015625,44883.91015625,39154666597,USD
