asOfDate,annualBasicEPS,annualRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest
2022-09-30,-0.224,-9000000.0,7921000000.0
2023-09-30,0.431,231000000.0,7054000000.0
2024-09-30,0.603,673000000.0,8062000000.0
2025-09-30,0.658,1077000000.0,8009000000.0
