asOfDate,annualCashAndCashEquivalents,annualCurrentAssets,annualCurrentLiabilities,annualEBITDA,annualInterestExpense,annualNetIncome,annualOperatingIncome,annualStockholdersEquity,annualTotalAssets,annualTotalDebt,annualTotalRevenue
2022-09-30,3514000000.0,4929000000.0,3678000000.0,499000000.0,143000000.0,-169000000.0,-27000000.0,2533000000.0,10454000000.0,4310000000.0,5769000000.0
2023-09-30,2925000000.0,4130000000.0,4144000000.0,1285000000.0,180000000.0,324000000.0,453000000.0,2787000000.0,9841000000.0,2884000000.0,8171000000.0
2024-09-30,1343000000.0,4545000000.0,4471000000.0,1502000000.0,130000000.0,452000000.0,597000000.0,2973000000.0,11035000000.0,3280000000.0,9309000000.0
2025-09-30,1504000000.0,4625000000.0,4152000000.0,1558000000.0,157000000.0,494000000.0,703000000.0,3498000000.0,11507000000.0,2926000000.0,10106000000.0
