Date,Close,AdjClose,Volume,Currency
2016-11-07,1565.0,1565.0,275268,GBp
2016-11-08,1580.0,1580.0,498167,GBp
2016-11-09,1630.0,1630.0,665507,GBp
2016-11-10,1649.0,1649.0,995031,GBp
2016-11-11,1649.0,1649.0,260923,GBp
2016-11-14,1658.0,1658.0,356480,GBp
2016-11-15,1684.0,1684.0,537013,GBp
2016-11-16,1661.0,1661.0,343465,GBp
2016-11-17,1684.0,1684.0,203838,GBp
2016-11-18,1687.0,1687.0,160968,GBp
2016-11-21,1664.0,1664.0,150718,GBp
2016-11-22,1684.0,1684.0,226401,GBp
2016-11-23,1687.0,1687.0,203468,GBp
2016-11-24,1679.0,1679.0,166922,GBp
2016-11-25,1681.0,1681.0,165372,GBp
2016-11-28,1676.0,1676.0,137040,GBp
2016-11-29,1693.0,1693.0,142436,GBp
2016-11-30,1676.0,1676.0,119327,GBp
2016-12-01,1737.0,1737.0,409509,GBp
2016-12-02,1753.0,1753.0,413750,GBp
2016-12-05,1762.0,1762.0,252649,GBp
2016-12-06,1807.0,1807.0,377641,GBp
2016-12-07,1826.0,1826.0,327578,GBp
2016-12-08,1880.0,1880.0,436794,GBp
2016-12-09,1850.0,1850.0,329119,GBp
2016-12-12,1823.0,1823.0,166776,GBp
2016-12-13,1849.0,1849.0,301182,GBp
2016-12-14,1836.0,1836.0,258634,GBp
2016-12-15,1868.0,1868.0,477433,GBp
2016-12-16,1855.0,1855.0,228993,GBp
2016-12-19,1824.0,1824.0,127346,GBp
2016-12-20,1813.0,1813.0,143028,GBp
2016-12-21,1820.0,1820.0,169435,GBp
2016-12-22,1820.0,1820.0,97419,GBp
2016-12-23,1844.0,1844.0,68669,GBp
2016-12-28,1800.0,1800.0,140365,GBp
2016-12-29,1790.0,1790.0,63858,GBp
2016-12-30,1791.0,1791.0,82886,GBp
2017-01-03,1799.0,1799.0,217995,GBp
2017-01-04,1840.0,1840.0,487181,GBp
2017-01-05,1861.0,1861.0,270969,GBp
2017-01-06,1854.0,1854.0,93232,GBp
2017-01-09,1843.0,1843.0,141621,GBp
2017-01-10,1823.0,1823.0,314124,GBp
2017-01-11,1834.0,1834.0,170380,GBp
2017-01-12,1799.0,1799.0,148072,GBp
2017-01-13,1807.0,1807.0,71678,GBp
2017-01-16,1801.0,1801.0,147280,GBp
2017-01-17,1839.0,1839.0,276921,GBp
2017-01-18,1822.0,1822.0,240808,GBp
2017-01-19,1825.0,1825.0,220834,GBp
2017-01-20,1824.0,1824.0,130571,GBp
2017-01-23,1820.0,1820.0,111483,GBp
2017-01-24,1806.0,1806.0,112646,GBp
2017-01-25,1822.0,1822.0,166819,GBp
2017-01-26,1829.0,1829.0,222270,GBp
2017-01-27,1844.0,1844.0,130418,GBp
2017-01-30,1830.0,1830.0,264913,GBp
2017-01-31,1781.0,1781.0,385830,GBp
2017-02-01,1616.0,1616.0,1983378,GBp
2017-02-02,1560.0,1560.0,1203820,GBp
2017-02-03,1613.0,1613.0,762621,GBp
2017-02-06,1593.0,1593.0,511585,GBp
2017-02-07,1578.0,1578.0,244680,GBp
2017-02-08,1570.0,1570.0,327226,GBp
2017-02-09,1581.0,1581.0,516868,GBp
2017-02-10,1571.0,1571.0,266718,GBp
2017-02-13,1613.0,1613.0,1222735,GBp
2017-02-14,1633.0,1633.0,579490,GBp
2017-02-15,1645.0,1645.0,309495,GBp
2017-02-16,1662.0,1662.0,351258,GBp
2017-02-17,1706.0,1706.0,385270,GBp
2017-02-20,1668.0,1668.0,311925,GBp
2017-02-21,1680.0,1680.0,182013,GBp
2017-02-22,1674.0,1674.0,169301,GBp
