Date,Close,AdjClose,Volume,Currency
2021-07-13,1940.083984375,1940.083984375,16621628658,USD
2021-07-14,1994.331298828125,1994.331298828125,17342819679,USD
2021-07-15,1911.1756591796875,1911.1756591796875,15688092552,USD
2021-07-16,1880.3829345703125,1880.3829345703125,14884569147,USD
2021-07-17,1898.8251953125,1898.8251953125,13364282076,USD
2021-07-18,1895.5521240234375,1895.5521240234375,13791868728,USD
2021-07-19,1817.296630859375,1817.296630859375,14157735481,USD
2021-07-20,1787.5107421875,1787.5107421875,17368597636,USD
2021-07-21,1990.9708251953125,1990.9708251953125,21253359756,USD
2021-07-22,2025.2027587890625,2025.2027587890625,17495480331,USD
2021-07-23,2124.776611328125,2124.776611328125,16200392492,USD
2021-07-24,2189.21875,2189.21875,16057446601,USD
2021-07-25,2191.373779296875,2191.373779296875,14566483636,USD
2021-07-26,2233.36669921875,2233.36669921875,29614324233,USD
2021-07-27,2298.33349609375,2298.33349609375,23067480378,USD
2021-07-28,2296.54541015625,2296.54541015625,18991302378,USD
2021-07-29,2380.956787109375,2380.956787109375,16313373113,USD
2021-07-30,2466.96142578125,2466.96142578125,20212848934,USD
2021-07-31,2536.2099609375,2536.2099609375,18001710283,USD
2021-08-01,2561.85205078125,2561.85205078125,22697987055,USD
2021-08-02,2610.1533203125,2610.1533203125,22162754104,USD
2021-08-03,2502.349609375,2502.349609375,22696753413,USD
2021-08-04,2724.619873046875,2724.619873046875,25038698173,USD
2021-08-05,2827.328857421875,2827.328857421875,31057928075,USD
2021-08-06,2890.941650390625,2890.941650390625,26528577879,USD
2021-08-07,3157.23876953125,3157.23876953125,33081467129,USD
2021-08-08,3013.732666015625,3013.732666015625,28433638008,USD
2021-08-09,3167.856201171875,3167.856201171875,31983260936,USD
2021-08-10,3141.691162109375,3141.691162109375,27605221710,USD
2021-08-11,3164.2451171875,3164.2451171875,26729035052,USD
2021-08-12,3043.414306640625,3043.414306640625,25403699845,USD
2021-08-13,3322.211669921875,3322.211669921875,23868866254,USD
2021-08-14,3265.443359375,3265.443359375,19860862133,USD
2021-08-15,3310.504150390625,3310.504150390625,22166205051,USD
2021-08-16,3156.509521484375,3156.509521484375,23080039949,USD
2021-08-17,3014.845947265625,3014.845947265625,25509056745,USD
2021-08-18,3020.08984375,3020.08984375,21539248425,USD
2021-08-19,3182.7021484375,3182.7021484375,19546290360,USD
2021-08-20,3286.935302734375,3286.935302734375,20885619828,USD
2021-08-21,3226.083984375,3226.083984375,18113977628,USD
2021-08-22,3242.115478515625,3242.115478515625,15983278460,USD
2021-08-23,3319.25732421875,3319.25732421875,20511110509,USD
2021-08-24,3172.456298828125,3172.456298828125,20131028906,USD
