Date,Open,High,Low,Close,AdjClose,Volume,Currency
2024-07-10,20645.0,20927.80078125,20644.400390625,20927.80078125,20927.80078125,297975200,GBP
2024-07-11,20927.80078125,21188.900390625,20898.30078125,21188.900390625,21188.900390625,322057900,GBP
2024-07-12,21188.900390625,21224.099609375,21116.80078125,21202.900390625,21202.900390625,200729400,GBP
2024-07-15,21202.900390625,21226.099609375,21081.0,21189.5,21189.5,226013400,GBP
2024-07-16,21189.5,21213.80078125,21120.30078125,21213.80078125,21213.80078125,244304600,GBP
2024-07-17,21213.80078125,21219.900390625,21068.400390625,21093.30078125,21093.30078125,212282000,GBP
2024-07-18,21093.30078125,21341.80078125,21092.599609375,21234.19921875,21234.19921875,256202400,GBP
2024-07-19,21096.19921875,21117.599609375,21047.69921875,21067.69921875,21067.69921875,166588200,GBP
2024-07-22,21067.69921875,21229.400390625,21059.19921875,21138.69921875,21138.69921875,230276500,GBP
2024-07-23,21138.69921875,21185.099609375,21039.599609375,21091.5,21091.5,260525900,GBP
2024-07-24,21091.5,21091.5,20950.80078125,20950.80078125,20950.80078125,327577300,GBP
2024-07-25,20950.80078125,20951.5,20699.099609375,20884.400390625,20884.400390625,252681300,GBP
2024-07-26,20884.400390625,21360.5,20856.5,21356.30078125,21356.30078125,264561800,GBP
2024-07-29,21356.30078125,21490.30078125,21221.099609375,21252.099609375,21252.099609375,239958100,GBP
2024-07-30,21252.099609375,21508.80078125,21195.400390625,21432.5,21432.5,305575900,GBP
2024-07-31,21432.5,21649.5,21430.099609375,21600.69921875,21600.69921875,309322400,GBP
2024-08-01,21600.69921875,21786.19921875,21358.099609375,21459.19921875,21459.19921875,327343500,GBP
2024-08-02,21459.19921875,21460.19921875,20800.599609375,20826.400390625,20826.400390625,336718400,GBP
2024-08-05,20826.400390625,20826.400390625,19955.80078125,20236.69921875,20236.69921875,365700100,GBP
2024-08-06,20236.69921875,20495.80078125,20206.400390625,20367.69921875,20367.69921875,422825200,GBP
2024-08-07,20367.69921875,20613.900390625,20367.69921875,20576.0,20576.0,265584000,GBP
2024-08-08,20576.0,20576.0,20280.599609375,20508.599609375,20508.599609375,264729400,GBP
2024-08-09,20508.599609375,20713.30078125,20495.099609375,20625.19921875,20625.19921875,182646400,GBP
2024-08-12,20625.19921875,20711.400390625,20614.69921875,20677.19921875,20677.19921875,340843500,GBP
2024-08-13,20677.19921875,20766.599609375,20638.5,20744.099609375,20744.099609375,315189400,GBP
2024-08-14,20744.099609375,20970.19921875,20741.19921875,20952.30078125,20952.30078125,327934400,GBP
2024-08-15,20952.30078125,21131.69921875,20855.400390625,21094.19921875,21094.19921875,223006300,GBP
2024-08-16,21094.19921875,21118.900390625,21007.900390625,21048.900390625,21048.900390625,241737300,GBP
2024-08-19,21048.900390625,21166.5,20987.5,21157.5,21157.5,220269500,GBP
2024-08-20,21157.5,21196.30078125,20986.19921875,20986.19921875,20986.19921875,216791700,GBP
2024-08-21,20986.19921875,21187.19921875,20982.900390625,21187.19921875,21187.19921875,305076300,GBP
2024-08-22,21187.19921875,21255.099609375,21104.69921875,21104.69921875,21104.69921875,601369800,GBP
2024-08-23,21104.69921875,21228.900390625,21095.30078125,21189.5,21189.5,172123700,GBP
2024-08-27,21189.5,21292.19921875,21138.80078125,21162.099609375,21162.099609375,304366800,GBP
2024-08-28,21162.099609375,21172.80078125,21066.900390625,21066.900390625,21066.900390625,195445600,GBP
2024-08-29,21066.900390625,21135.0,21031.099609375,21031.099609375,21031.099609375,299766100,GBP
2024-08-30,21031.099609375,21186.0,21021.5,21086.5,21086.5,299382800,GBP
2024-09-02,21086.5,21121.599609375,20980.5,20980.5,20980.5,200419900,GBP
2024-09-03,20980.5,21051.0,20782.099609375,20808.599609375,20808.599609375,203383200,GBP
2024-09-04,20808.599609375,20849.69921875,20614.80078125,20808.599609375,20808.599609375,364686000,GBP
2024-09-05,20808.599609375,20898.19921875,20762.5,20762.5,20762.5,345689700,GBP
2024-09-06,20762.5,20799.400390625,20490.0,20494.0,20494.0,256456400,GBP
2024-09-09,20494.0,20650.900390625,20494.0,20650.900390625,20650.900390625,256739400,GBP
2024-09-10,20650.900390625,20720.19921875,20607.80078125,20656.099609375,20656.099609375,302009900,GBP
2024-09-11,20656.099609375,20716.69921875,20514.19921875,20537.30078125,20537.30078125,267636600,GBP
2024-09-12,20537.30078125,20777.19921875,20534.5,20695.80078125,20695.80078125,318442200,GBP
2024-09-13,20695.80078125,20934.5,20695.80078125,20895.400390625,20895.400390625,257722900,GBP
2024-09-16,20895.400390625,20938.900390625,20861.0,20929.599609375,20929.599609375,293101000,GBP
2024-09-17,20929.599609375,21045.5,20929.599609375,20944.599609375,20944.599609375,362692500,GBP
2024-09-18,20944.599609375,20946.599609375,20821.900390625,20835.30078125,20835.30078125,299785700,GBP
2024-09-19,20835.30078125,21162.69921875,20834.0,21162.69921875,21162.69921875,322172600,GBP
2024-09-20,21162.69921875,21162.69921875,20831.80078125,20831.80078125,20831.80078125,680871300,GBP
2024-09-23,20831.80078125,20893.69921875,20786.099609375,20845.099609375,20845.099609375,261706100,GBP
2024-09-24,20845.099609375,20946.900390625,20759.30078125,20770.099609375,20770.099609375,239346000,GBP
2024-09-25,20770.099609375,20913.900390625,20745.19921875,20755.400390625,20755.400390625,274341500,GBP
2024-09-26,20755.400390625,21101.19921875,20751.80078125,21010.400390625,21010.400390625,391230200,GBP
2024-09-27,21010.400390625,21240.599609375,21008.69921875,21240.599609375,21240.599609375,344425000,GBP
2024-09-30,21240.599609375,21248.400390625,20999.900390625,21053.19921875,21053.19921875,314622400,GBP
2024-10-01,21053.19921875,21127.900390625,20901.19921875,20914.69921875,20914.69921875,282860500,GBP
2024-10-02,20914.69921875,20932.19921875,20747.69921875,20783.80078125,20783.80078125,259789500,GBP
2024-10-03,20783.80078125,20837.400390625,20711.900390625,20740.099609375,20740.099609375,188332300,GBP
